month,month_label,mean_temp_c,hours_lost,compression_pct,cost_per_worker_mru_conservative,cost_per_worker_mru_midpoint,cost_per_worker_mru_upper,city_cost_mru_low,city_cost_mru_mid,city_cost_mru_high
1,Jan,24.48,27.8,9.0,400.3,560.5,720.6,56048077.0,67257692.0,84072115.0
2,Fév,26.07,38.5,13.5,555.1,777.1,999.1,77711538.0,93253846.0,116567308.0
3,Mar,26.66,48.0,15.5,692.1,968.9,1245.8,96894231.0,116273077.0,145341346.0
4,Avr,28.12,58.5,19.5,844.2,1181.8,1519.5,118182692.0,141819231.0,177274038.0
5,Mai,28.78,66.2,21.3,954.4,1336.2,1717.9,133615385.0,160338462.0,200423077.0
6,Jui,30.21,79.6,26.5,1148.7,1608.2,2067.7,160817308.0,192980769.0,241225962.0
7,Jul,27.73,38.4,12.4,553.2,774.5,995.8,77451923.0,92942308.0,116177885.0
8,Aoû,29.31,58.0,18.7,836.1,1170.6,1505.0,117057692.0,140469231.0,175586538.0
9,Sep,31.36,90.4,30.1,1303.6,1825.1,2346.6,182509615.0,219011538.0,273764423.0
10,Oct,32.47,117.2,37.8,1691.0,2367.4,3043.8,236740385.0,284088462.0,355110577.0
11,Nov,29.45,77.0,25.7,1110.4,1554.5,1998.7,155451923.0,186542308.0,233177885.0
12,Déc,25.1,30.6,9.9,441.1,617.6,794.1,61759615.0,74111538.0,92639423.0
