month,month_label,mean_temp_c,work_capacity_pct,hours_lost,compression_pct,cost_per_worker_mru,city_income_loss_mru,ac_cost_mru,total_cost_mru
1,Jan,24.47714285714286,91.0,27.8,9.0,560.0,67257692.0,32354077.0,99611769.0
2,Fév,26.065714285714282,86.5,38.5,13.5,777.0,93253846.0,38964050.0,132217896.0
3,Mar,26.66142857142857,84.5,48.0,15.5,969.0,116273077.0,53923462.0,170196539.0
4,Avr,28.12142857142857,80.5,58.5,19.5,1182.0,141819231.0,73057594.0,214876825.0
5,Mai,28.77857142857143,78.7,66.2,21.3,1336.0,160338462.0,86277540.0,246616002.0
6,Jui,30.208571428571428,73.5,79.6,26.5,1608.0,192980769.0,93931192.0,286911961.0
7,Jul,27.728571428571428,87.6,38.4,12.4,774.0,92942308.0,86277540.0,179219848.0
8,Aoû,29.30857142857143,81.3,58.0,18.7,1171.0,140469231.0,97062232.0,237531463.0
9,Sep,31.361428571428572,69.9,90.4,30.1,1825.0,219011538.0,104367992.0,323379530.0
10,Oct,32.471428571428575,62.2,117.2,37.8,2367.0,284088462.0,107846925.0,391935387.0
11,Nov,29.452857142857145,74.3,77.0,25.7,1554.0,186542308.0,62620795.0,249163103.0
12,Déc,25.095714285714283,90.1,30.6,9.9,618.0,74111538.0,32354077.0,106465615.0
