year,month,month_label,total_hours,mean_temp_c,max_temp_c,hours_above_35c,pct_above_35c,hours_above_38c,pct_above_38c,hours_above_40c,pct_above_40c,hours_above_42c,pct_above_42c,hours_above_44c,pct_above_44c
2019,1,Jan,310,23.25,33.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2019,2,Fév,280,25.34,34.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2019,3,Mar,310,25.34,36.2,14,4.5,0,0.0,0,0.0,0,0.0,0,0.0
2019,4,Avr,300,27.2,39.5,16,5.3,2,0.7,0,0.0,0,0.0,0,0.0
2019,5,Mai,310,26.09,41.5,21,6.8,12,3.9,6,1.9,0,0.0,0,0.0
2019,6,Jui,300,31.81,44.3,98,32.7,53,17.7,36,12.0,19,6.3,2,0.7
2019,7,Jul,310,27.62,41.0,9,2.9,3,1.0,2,0.6,0,0.0,0,0.0
2019,8,Aoû,310,28.6,40.5,7,2.3,4,1.3,2,0.6,0,0.0,0,0.0
2019,9,Sep,300,30.97,41.2,31,10.3,5,1.7,4,1.3,0,0.0,0,0.0
2019,10,Oct,310,32.07,42.7,90,29.0,33,10.6,13,4.2,3,1.0,0,0.0
2019,11,Nov,300,27.92,37.5,22,7.3,0,0.0,0,0.0,0,0.0,0,0.0
2019,12,Déc,310,25.18,33.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020,1,Jan,310,23.87,35.2,2,0.6,0,0.0,0,0.0,0,0.0,0,0.0
2020,2,Fév,290,28.58,36.9,30,10.3,0,0.0,0,0.0,0,0.0,0,0.0
2020,3,Mar,310,27.74,38.2,42,13.5,4,1.3,0,0.0,0,0.0,0,0.0
2020,4,Avr,300,28.67,40.7,45,15.0,21,7.0,8,2.7,0,0.0,0,0.0
2020,5,Mai,310,29.44,41.0,27,8.7,5,1.6,2,0.6,0,0.0,0,0.0
2020,6,Jui,300,30.61,45.5,62,20.7,43,14.3,29,9.7,18,6.0,7,2.3
2020,7,Jul,310,27.67,32.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2020,8,Aoû,310,29.43,36.3,4,1.3,0,0.0,0,0.0,0,0.0,0,0.0
2020,9,Sep,300,30.84,41.6,10,3.3,5,1.7,4,1.3,0,0.0,0,0.0
2020,10,Oct,310,33.82,41.7,140,45.2,90,29.0,45,14.5,0,0.0,0,0.0
2020,11,Nov,300,29.67,38.1,60,20.0,1,0.3,0,0.0,0,0.0,0,0.0
2020,12,Déc,310,24.58,32.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021,1,Jan,310,24.94,34.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2021,2,Fév,280,25.43,35.5,4,1.4,0,0.0,0,0.0,0,0.0,0,0.0
