datetime,temp_c,year,month,hour,work_capacity,hours_lost
2019-01-01 08:00:00,16.9,2019,1,8,1.0,0.0
2019-01-01 09:00:00,18.7,2019,1,9,1.0,0.0
2019-01-01 10:00:00,21.4,2019,1,10,1.0,0.0
2019-01-01 11:00:00,24.0,2019,1,11,1.0,0.0
2019-01-01 12:00:00,27.6,2019,1,12,0.8939999999999999,0.1060000000000001
2019-01-01 13:00:00,29.9,2019,1,13,0.804,0.19599999999999995
2019-01-01 14:00:00,31.6,2019,1,14,0.7199999999999999,0.28000000000000014
2019-01-01 15:00:00,32.8,2019,1,15,0.6200000000000002,0.3799999999999998
2019-01-01 16:00:00,33.2,2019,1,16,0.5799999999999997,0.42000000000000026
2019-01-01 17:00:00,33.0,2019,1,17,0.6,0.4
2019-01-02 08:00:00,19.5,2019,1,8,1.0,0.0
2019-01-02 09:00:00,20.9,2019,1,9,1.0,0.0
2019-01-02 10:00:00,22.9,2019,1,10,1.0,0.0
2019-01-02 11:00:00,24.8,2019,1,11,0.98,0.020000000000000018
2019-01-02 12:00:00,27.6,2019,1,12,0.8939999999999999,0.1060000000000001
2019-01-02 13:00:00,29.2,2019,1,13,0.8320000000000001,0.16799999999999993
2019-01-02 14:00:00,30.5,2019,1,14,0.775,0.22499999999999998
2019-01-02 15:00:00,31.2,2019,1,15,0.74,0.26
2019-01-02 16:00:00,31.5,2019,1,16,0.725,0.275
2019-01-02 17:00:00,31.1,2019,1,17,0.7449999999999999,0.2550000000000001
2019-01-03 08:00:00,16.2,2019,1,8,1.0,0.0
2019-01-03 09:00:00,17.5,2019,1,9,1.0,0.0
2019-01-03 10:00:00,19.0,2019,1,10,1.0,0.0
2019-01-03 11:00:00,20.8,2019,1,11,1.0,0.0
2019-01-03 12:00:00,22.6,2019,1,12,1.0,0.0
2019-01-03 13:00:00,24.5,2019,1,13,0.9875,0.012499999999999956
2019-01-03 14:00:00,25.8,2019,1,14,0.955,0.04500000000000004
2019-01-03 15:00:00,26.8,2019,1,15,0.9219999999999999,0.07800000000000007
2019-01-03 16:00:00,27.1,2019,1,16,0.9115,0.08850000000000002
2019-01-03 17:00:00,27.0,2019,1,17,0.915,0.08499999999999996
2019-01-04 08:00:00,14.3,2019,1,8,1.0,0.0
2019-01-04 09:00:00,15.7,2019,1,9,1.0,0.0
2019-01-04 10:00:00,17.6,2019,1,10,1.0,0.0
2019-01-04 11:00:00,19.1,2019,1,11,1.0,0.0
2019-01-04 12:00:00,22.2,2019,1,12,1.0,0.0
2019-01-04 13:00:00,24.2,2019,1,13,0.995,0.0050000000000000044
2019-01-04 14:00:00,25.3,2019,1,14,0.9674999999999999,0.032500000000000084
2019-01-04 15:00:00,26.3,2019,1,15,0.9394999999999999,0.06050000000000011
2019-01-04 16:00:00,26.7,2019,1,16,0.9255,0.07450000000000001
2019-01-04 17:00:00,26.6,2019,1,17,0.9289999999999999,0.07100000000000006
2019-01-05 08:00:00,16.1,2019,1,8,1.0,0.0
2019-01-05 09:00:00,17.4,2019,1,9,1.0,0.0
2019-01-05 10:00:00,19.5,2019,1,10,1.0,0.0
2019-01-05 11:00:00,21.5,2019,1,11,1.0,0.0
2019-01-05 12:00:00,24.1,2019,1,12,0.9974999999999999,0.0025000000000000577
2019-01-05 13:00:00,26.0,2019,1,13,0.95,0.050000000000000044
2019-01-05 14:00:00,27.2,2019,1,14,0.908,0.09199999999999997
2019-01-05 15:00:00,27.9,2019,1,15,0.8835000000000001,0.11649999999999994
2019-01-05 16:00:00,28.2,2019,1,16,0.872,0.128
2019-01-05 17:00:00,28.0,2019,1,17,0.88,0.12
2019-01-06 08:00:00,15.1,2019,1,8,1.0,0.0
2019-01-06 09:00:00,16.5,2019,1,9,1.0,0.0
2019-01-06 10:00:00,18.8,2019,1,10,1.0,0.0
2019-01-06 11:00:00,21.0,2019,1,11,1.0,0.0
2019-01-06 12:00:00,23.9,2019,1,12,1.0,0.0
2019-01-06 13:00:00,25.8,2019,1,13,0.955,0.04500000000000004
2019-01-06 14:00:00,27.1,2019,1,14,0.9115,0.08850000000000002
2019-01-06 15:00:00,28.0,2019,1,15,0.88,0.12
2019-01-06 16:00:00,28.5,2019,1,16,0.86,0.14
2019-01-06 17:00:00,28.3,2019,1,17,0.868,0.132
2019-01-07 08:00:00,14.7,2019,1,8,1.0,0.0
2019-01-07 09:00:00,16.2,2019,1,9,1.0,0.0
2019-01-07 10:00:00,18.5,2019,1,10,1.0,0.0
2019-01-07 11:00:00,20.9,2019,1,11,1.0,0.0
