year,month,month_label,total_working_hours,mean_temp_c,mean_work_capacity,effective_hours,hours_lost,compression_pct
2019,1,Jan,310,23.25,0.9403,291.5,18.5,6.0
2019,2,Fév,280,25.34,0.8948,250.5,29.5,10.5
2019,3,Mar,310,25.34,0.8803,272.9,37.1,12.0
2019,4,Avr,300,27.2,0.8447,253.4,46.6,15.5
2019,5,Mai,310,26.09,0.8817,273.3,36.7,11.8
2019,6,Jui,300,31.81,0.6437,193.1,106.9,35.6
2019,7,Jul,310,27.62,0.8756,271.4,38.6,12.4
2019,8,Aoû,310,28.6,0.8427,261.2,48.8,15.7
2019,9,Sep,300,30.97,0.7227,216.8,83.2,27.7
2019,10,Oct,310,32.07,0.6432,199.4,110.6,35.7
2019,11,Nov,300,27.92,0.8128,243.8,56.2,18.7
2019,12,Déc,310,25.18,0.9078,281.4,28.6,9.2
2020,1,Jan,310,23.87,0.9104,282.2,27.8,9.0
2020,2,Fév,290,28.58,0.7643,221.6,68.4,23.6
2020,3,Mar,310,27.74,0.8008,248.3,61.7,19.9
2020,4,Avr,300,28.67,0.7797,233.9,66.1,22.0
2020,5,Mai,310,29.44,0.7728,239.6,70.4,22.7
2020,6,Jui,300,30.61,0.7214,216.4,83.6,27.9
2020,7,Jul,310,27.67,0.886,274.7,35.3,11.4
2020,8,Aoû,310,29.43,0.8153,252.7,57.3,18.5
2020,9,Sep,300,30.84,0.7381,221.4,78.6,26.2
2020,10,Oct,310,33.82,0.5458,169.2,140.8,45.4
2020,11,Nov,300,29.67,0.7312,219.4,80.6,26.9
2020,12,Déc,310,24.58,0.9279,287.7,22.3,7.2
2021,1,Jan,310,24.94,0.9039,280.2,29.8,9.6
2021,2,Fév,280,25.43,0.8751,245.0,35.0,12.5
2021,3,Mar,310,26.73,0.8614,267.0,43.0,13.9
2021,4,Avr,300,29.31,0.7586,227.6,72.4,24.1
2021,5,Mai,310,28.45,0.7967,247.0,63.0,20.3
2021,6,Jui,300,29.98,0.744,223.2,76.8,25.6
2021,7,Jul,310,26.64,0.918,284.6,25.4,8.2
2021,8,Aoû,310,30.16,0.77,238.7,71.3,23.0
2021,9,Sep,300,31.45,0.6953,208.6,91.4,30.5
2021,10,Oct,310,32.15,0.6364,197.3,112.7,36.4
2021,11,Nov,300,29.56,0.7499,225.0,75.0,25.0
2021,12,Déc,310,26.49,0.8712,270.1,39.9,12.9
2022,1,Jan,310,26.01,0.8811,273.1,36.9,11.9
2022,2,Fév,280,26.34,0.8697,243.5,36.5,13.0
2022,3,Mar,310,25.5,0.8969,278.1,31.9,10.3
2022,4,Avr,300,26.71,0.8556,256.7,43.3,14.4
2022,5,Mai,310,28.72,0.778,241.2,68.8,22.2
2022,6,Jui,300,30.61,0.7177,215.3,84.7,28.2
2022,7,Jul,310,27.85,0.8698,269.6,40.4,13.0
2022,8,Aoû,310,28.85,0.8381,259.8,50.2,16.2
2022,9,Sep,300,32.19,0.6469,194.1,105.9,35.3
2022,10,Oct,310,32.05,0.64,198.4,111.6,36.0
2022,11,Nov,300,29.3,0.7418,222.5,77.5,25.8
2022,12,Déc,310,26.06,0.8604,266.7,43.3,14.0
2023,1,Jan,310,24.08,0.9298,288.2,21.8,7.0
2023,2,Fév,280,23.83,0.9424,263.9,16.1,5.8
2023,3,Mar,310,29.05,0.7438,230.6,79.4,25.6
2023,4,Avr,300,27.04,0.8484,254.5,45.5,15.2
2023,5,Mai,310,29.26,0.7768,240.8,69.2,22.3
2023,6,Jui,300,29.18,0.8,240.0,60.0,20.0
2023,7,Jul,310,29.5,0.8008,248.3,61.7,19.9
2023,8,Aoû,310,29.62,0.7942,246.2,63.8,20.6
2023,9,Sep,300,32.57,0.6281,188.4,111.6,37.2
2023,10,Oct,310,31.57,0.6804,210.9,99.1,32.0
2023,11,Nov,300,30.25,0.6994,209.8,90.2,30.1
2023,12,Déc,310,25.4,0.8843,274.1,35.9,11.6
2024,1,Jan,310,25.65,0.8772,271.9,38.1,12.3
2024,2,Fév,290,27.88,0.8015,232.4,57.6,19.9
2024,3,Mar,310,27.03,0.8361,259.2,50.8,16.4
2024,4,Avr,300,29.13,0.7638,229.1,70.9,23.6
2024,5,Mai,310,29.25,0.772,239.3,70.7,22.8
2024,6,Jui,300,30.17,0.7245,217.4,82.6,27.5
2024,7,Jul,310,27.52,0.8847,274.3,35.7,11.5
2024,8,Aoû,310,28.95,0.831,257.6,52.4,16.9
2024,9,Sep,300,29.74,0.7818,234.5,65.5,21.8
2024,10,Oct,310,32.63,0.6102,189.2,120.8,39.0
2024,11,Nov,300,29.94,0.7181,215.4,84.6,28.2
2024,12,Déc,310,25.39,0.8931,276.9,33.1,10.7
2025,1,Jan,310,23.54,0.9308,288.6,21.4,6.9
2025,2,Fév,280,25.06,0.9059,253.7,26.3,9.4
2025,3,Mar,310,25.24,0.8967,278.0,32.0,10.3
2025,4,Avr,300,28.79,0.7838,235.1,64.9,21.6
2025,5,Mai,310,30.24,0.7277,225.6,84.4,27.2
2025,6,Jui,300,29.1,0.7903,237.1,62.9,21.0
2025,7,Jul,310,27.3,0.8986,278.6,31.4,10.1
2025,8,Aoû,310,29.55,0.8,248.0,62.0,20.0
2025,9,Sep,300,31.77,0.6785,203.5,96.5,32.2
2025,10,Oct,310,33.01,0.5964,184.9,125.1,40.4
2025,11,Nov,300,29.53,0.7506,225.2,74.8,24.9
2025,12,Déc,310,22.57,0.9647,299.0,11.0,3.5
