osm_id,name,building,shop,amenity,centroid_lat,centroid_lon,area_m2
94947800,سوق المغربية,,,marketplace,18.076691,-15.979413,46418.2
155831789,,yes,mall,,18.162051,-16.011174,3853.8
227413643,AIR ALGERIE,yes,travel_agency,,18.088025,-15.977226,388.7
227413644,RAM,yes,travel_agency,,18.088352,-15.977329,825.2
227413649,Hôtel El Khaima,commercial,,,18.08916,-15.976879,1653.7
228679191,Marché aux Légumes سوق الخضار,,,marketplace,18.075215,-15.979912,18428.5
228683586,Marché El Mina سوق المينا,,,marketplace,18.071733,-15.988514,74407.2
228683587,Marché de Sebkha سوق السبخة,,,marketplace,18.073076,-15.990263,40388.4
228766944,,yes,clothes,,18.087985,-15.975715,829.9
228766947,,yes,shoes,,18.088168,-15.975725,1895.0
228766948,,yes,electronics,,18.088288,-15.97616,3089.4
228767535,,yes,,marketplace,18.087477,-15.980017,1436.3
228768018,,yes,travel_agency,,18.08703,-15.97401,1127.1
228768026,,,stationery,,18.089187,-15.977138,5469.1
228835959,Etihad Airways,,travel_agency,car_rental,18.088211,-15.978824,119.8
228835961,Essama VOyages,yes,travel_agency,,18.088047,-15.978169,130.2
228835962,Agence de voyage Porte d'Afrique,,travel_agency,car_rental,18.087616,-15.978324,45.7
228835971,,yes,hardware,,18.086461,-15.982259,7755.9
228835972,,yes,hardware,,18.086031,-15.981829,2643.6
228837069,,yes,computer,,18.089856,-15.979152,965.6
228837077,Thuraya Télécom,commercial,,,18.091231,-15.97744,1065.7
228842029,,yes,stationery,,18.090062,-15.979563,1115.1
228842045,CDI,,computer,,18.090033,-15.980138,1894.5
228842052,Air France الخطوط الجوية الفرنسية,yes,travel_agency,,18.092247,-15.979839,1345.6
228842054,Tunisair الخطوط التونسية,yes,travel_agency,,18.091945,-15.979299,689.3
228861797,BANA BLANC,house,supermarket,,18.102456,-15.974994,1190.5
228943867,Ejmel Auto أجمل أوتو,,car_repair,,18.101,-15.96203,3237.6
229002610,Bourse Voitures,yes,car,,18.100093,-15.958842,795.5
229021977,Marché Arafat سوق عرفات,,,marketplace,18.048512,-15.97047,5192.8
229284043,,yes,car,,18.076619,-15.966723,688.6
229331169,Mecca Market,yes,,marketplace,18.073345,-15.962995,1318.7
229733355,Marché de Bois سوق الخشب,,,marketplace,18.065253,-15.981112,46263.2
229733363,Marché d'Ejev,,,marketplace,18.064438,-15.982534,17424.7
229953365,,retail,,,18.071575,-15.938716,547.7
230025367,Bourse Voitures سيارات للأوراق المالية,,car,,18.071415,-15.968348,3743.8
230062921,Marché Ould Hacen سوق ولد الحسن,,,marketplace,18.070081,-15.918167,10883.4
230396918,,yes,car_repair,,18.019178,-15.976108,1922.4
230487711,Marche Dar Beyda,yes,,marketplace,18.019117,-15.989073,2548.1
231404410,,retail,,,18.101321,-15.975181,1622.6
231773973,ORCA,yes,furniture,,18.094541,-15.977925,849.9
231774947,Bana Blue بانا بلو,retail,,,18.094416,-15.979374,941.0
235394419,Bourse Voitures,,car,,18.107331,-15.963263,4645.0
235394420,Bourse Voitures,,car,,18.107953,-15.96328,2055.8
235642788,Bourse Voitures,,car,,18.106855,-15.964057,4026.2
235642799,Bourse Voitures,,car,,18.108017,-15.963633,1919.5
238478620,Marché du bétail سوق للماشية,,,marketplace,18.055273,-15.98516,129498.9
239001201,Mauritanie Voyage,yes,travel_agency,,18.088557,-15.977265,1100.8
325467783,Bourse Voitures,yes,car,,18.106438,-15.963825,360.3
325467784,Bourse Voitures,yes,car,,18.106113,-15.963874,505.7
325467785,Bouse Voitures,yes,car,,18.108579,-15.963162,1161.6
325737832,Bourse de Voitures سيارة للأوراق المالية,,car,,18.104362,-15.966246,3395.3
332167856,Chinguitel شنقيتل,commercial,,,18.106034,-15.978728,4064.1
332210520,,commercial,,,18.090492,-15.976558,432.0
332212580,Caisse nationale d'assurance maladie الصندوق الوطني للتأمين على المرض,commercial,,,18.100862,-15.996987,993.7
332603234,,,car,,18.105946,-15.96642,6283.9
332603235,,,car,,18.106136,-15.967111,1439.7
332603236,,,car,,18.106308,-15.967543,996.6
332603237,,,car,,18.106241,-15.968041,2889.9
332603238,,,car,,18.106452,-15.969213,1374.7
332603239,,yes,car,,18.106741,-15.97058,857.2
332603241,,yes,car,,18.107294,-15.97045,923.7
332603243,,,car,,18.102079,-15.966063,1969.4
332605460,Bourse voitures بورصة السيارات,yes,car,,18.087868,-15.993507,2198.7
332679177,,,car,,18.073282,-15.967359,6795.6
332679178,,,car,,18.072595,-15.967859,9373.0
332679180,,,car,,18.071468,-15.968031,1675.3
452626646,TotalEnergies,yes,convenience,,17.991933,-15.975459,283.9
453299395,,,car,,18.072617,-15.968552,58823.6
453300197,,,car,,18.076581,-15.966839,107447.9
453601079,سوق السمك,yes,,marketplace,18.10335,-16.026061,3358.5
471356196,,retail,,,18.103664,-15.981854,126.1
471356200,,retail,,,18.10368,-15.982059,38.2
580473073,Mauricana Garage & Training Center,,car_repair,college,18.09167,-16.013568,913.3
699372441,,,,marketplace,18.069569,-15.927158,110.3
699372442,,,,marketplace,18.069509,-15.926933,212.5
699372443,,,,marketplace,18.069637,-15.927033,2102.3
794325960,Big Market,yes,supermarket,,18.107617,-15.999271,968.1
882569256,Souk سوق,commercial,,,18.073485,-15.945469,441.1
882569257,Souk سوق,commercial,,,18.073418,-15.945675,164.5
882569258,Souk سوق,commercial,,,18.073485,-15.945924,348.7
911382115,SOMAGAZ,commercial,,,18.101735,-15.965147,1990.9
930617119,Marché du Charbon سوق الفحم,,,marketplace,18.069294,-15.976247,5032.8
932513556,Windy,,supermarket,,18.101376,-15.967257,862.3
939355887,Residance Sonef,retail,,,18.108038,-15.984788,614.3
940724522,El Baraka Optique,retail,,,18.10332,-15.977467,182.5
1021480130,Convenience Store,commercial,,,18.064766,-15.992009,8705.9
1021481956,,,,marketplace,18.058044,-15.967929,2495.0
1021481964,,,,marketplace,18.059014,-15.96986,2702.4
1021482073,,,,marketplace,18.062741,-15.960206,4695.6
1022028329,,yes,supermarket,,18.111318,-15.951,1605.4
1022028910,,yes,supermarket,,18.113694,-15.949257,761.0
1022059582,,commercial,,,18.096508,-15.957201,2119.6
1022062892,,commercial,,,18.050844,-15.940272,1336.6
1022062911,,retail,,,18.05022,-15.939465,162.9
1022062912,,retail,,,18.051128,-15.939489,6052.4
1022062913,,retail,,,18.050416,-15.940925,292.2
1022068520,,commercial,,,18.022963,-15.964515,370.8
1022620635,,retail,,,18.097288,-15.977051,33.9
1022622517,,retail,,,18.097604,-15.97837,294.7
1022677469,,retail,,,18.101496,-15.981842,589.6
1023051481,,commercial,,,18.101669,-15.975557,467.2
1023355978,,retail,,,18.096397,-15.979839,231.7
1023355986,,retail,,,18.097669,-15.980977,307.6
1023913477,,retail,,,18.103412,-15.977814,311.8
1023913481,,retail,,,18.103444,-15.977598,690.3
1023913483,,retail,,,18.10344,-15.977928,107.8
1024856139,,retail,,,18.095987,-15.979065,620.0
1024856140,,retail,,,18.095948,-15.978885,200.0
1024856171,,retail,,,18.095332,-15.9769,228.1
1024856180,,retail,,,18.094147,-15.978204,535.3
